CensusYear,BlockID,PropertyID,BasePropertyID,StreetAddress,CLUESmallArea,TradingName,Numberofpatrons,xcoordinate,ycoordinate,Location,street_name,typeOfPlace
2002,247,106238,106238,192-202 Lygon Street,Carlton,Players On Lygon,200,144.96709,-37.80246,"(-37.80246412, 144.9670937)",LYGON STREET,UNKNOWN
2002,252,106244,106244,160-162 Lygon Street,Carlton,Bar Centrale,500,144.96677,-37.80344,"(-37.80344128, 144.9667701)",LYGON STREET,BAR
2002,214,106186,106186,414-422 Lygon Street,Carlton,Percys Bar & Bistro,120,144.96781,-37.79695,"(-37.79694543, 144.9678124)",LYGON STREET,BAR
2002,369,103507,103507,86-90 Errol Street,North Melbourne,Court House Hotel,140,144.94996,-37.80288,"(-37.80287774, 144.9499555)",ERROL STREET,HOTEL
2002,710,108617,108617,375-385 St Kilda Road,Melbourne (Remainder),Royce On St Kilda Road,120,144.97549,-37.83508,"(-37.83508258, 144.9754922)",ST KILDA ROAD,UNKNOWN
2002,915,108456,108456,43-49 Royal Parade,Parkville,Naughtons Hotel,120,144.95753,-37.79554,"(-37.79554429, 144.9575327)",ROYAL PARADE,HOTEL
2002,215,108202,108202,415-421 Rathdowne Street,Carlton,Clare Castle Hotel,50,144.97043,-37.79652,"(-37.79652019, 144.9704269)",RATHDOWNE STREET,HOTEL
2002,270,104468,104468,156-292 Grattan Street,Parkville,University House,611,144.96118,-37.79688,"(-37.79688289, 144.9611833)",GRATTAN STREET,UNKNOWN
2002,270,104468,104468,156-292 Grattan Street,Parkville,U Bar,200,144.96118,-37.79688,"(-37.79688289, 144.9611833)",GRATTAN STREET,BAR
2002,435,107481,107481,65-67 Peel Street,West Melbourne (Residential),Loki Bar,140,144.9555,-37.80667,"(-37.80666768, 144.9554976)",PEEL STREET,BAR
2002,266,106081,106081,27-31 Lygon Street,Carlton,John Curtin Hotel,350,144.9657,-37.8062,"(-37.80619946, 144.9656987)",LYGON STREET,HOTEL
